id,name,address,latitude,longitude
138,Maity Medical Hall,"Adlabad Road, Adlabad Rd, Adlabad, Egra, West Bengal, 721429, India",21.8987,87.5454
139,Pasteur Lab,"Pasteur Lab, Near Egra Post Office, Purba Medinipur, Buran, Egra, West Bengal, 721429, India",21.89792,87.53875
140,Maa Kanak Diagnostic Centre,"Egra, SH 5, Purushottampur, Egra, West Bengal, 721429, India",21.90478,87.53278
141,New Prankrishna Pharmacy,"Hindustan Lodge, Sh5, Dantan II, Potashpur-II, Purba Medinipur, West Bengal, 721429, India",21.912227,87.521596
142,MS Baba Lokenath Pharmacy,"Hindustan Lodge, Sh5, Dantan II, Potashpur-II, Purba Medinipur, West Bengal, 721429, India",21.912227,87.521596
143,Seba Medical,"Hindustan Lodge, Sh5, Dantan II, Potashpur-II, Purba Medinipur, West Bengal, 721429, India",21.912227,87.521596
144,Sourav Pharmacy,"Hindustan Lodge, Sh5, Dantan II, Potashpur-II, Purba Medinipur, West Bengal, 721429, India",21.912227,87.521596
145,Remedy Medicine Counter,"Egra-এগরা, Sh5, Dantan II, Egra-I, Purba Medinipur, West Bengal, 721429, India",21.899302,87.53772
146,Ankita Medicine Distributor,"Ankita Medicine Distributor, Ward No. 1, Near, Egra Shamshan Kali Mandir Rd, Kasaba, Egra, West Bengal, 721429, India",21.89411,87.53986
147,Maa Medicals,"Maa Medicals, Egra Shamshan Kali Mandir Rd, Hosenpur, Egra, West Bengal, 721429, India",21.89122,87.53891
148,B M Medical Hall,"Egra, Egra I, West Bengal, 721429, India",21.901186,87.524971
149,City Homeopathic Pharmacy,"Dantan I, Paschim Medinipur District, Odisha, 721426, India",21.922532,87.293983
150,MS Shreema Pharmacy,"Dantan I, Paschim Medinipur District, Odisha, 721426, India",21.922532,87.293983
151,Shanti Pharmacy,"Dantan I, Paschim Medinipur District, Odisha, 721426, India",21.922532,87.293983
152,Surendra Medical Store,"Dantan I, Paschim Medinipur District, Odisha, 721426, India",21.922532,87.293983
153,Dantan Drug House Medicine Store,"Dantan I, Paschim Medinipur District, Odisha, 721426, India",21.922532,87.293983
154,Annyesh Feed House And Renuka Medico,"Annyesh Feed House And Renuka Medico, Station Road, Chaulia, West Bengal, 721426, India",21.93471,87.28372
155,New Surendra Medical,"Dantan I, Paschim Medinipur District, Odisha, 721426, India",21.922532,87.293983
156,RamKrishna Medical,"Digha Road, Digha Rd, Bajkul, West Bengal, 721655, India",22.0252,87.8227
157,Poly Pharmacy,"Sabang, Paschim Medinipur District, West Bengal, 721144, India",22.143939,87.621014
158,Malay Medical,"Maa Gouri Devi College, Vill+po-Dasagram, P.S-Sabang Dist, Dasagram, Sabang, West Bengal, 721144, India",22.17575,87.59757
159,Ashirbad Medical Store,"Sabang, Paschim Medinipur District, West Bengal, 721144, India",22.143939,87.621014
160,Mritunjoy Pharmacy,"Sabang, Paschim Medinipur District, West Bengal, 721144, India",22.143939,87.621014
161,Janata Medical Hall,"Right PolyClinic, Diamond Harbour, Diamond Harbour Road, Diamond Harbour, Diamond Harbour - I, South 24 Parganas, West Bengal, 743331, India",22.19203,88.190796
162,Tri Guna Medical Hall,"Right PolyClinic, Diamond Harbour, Diamond Harbour Road, Diamond Harbour, Diamond Harbour - I, South 24 Parganas, West Bengal, 743331, India",22.19203,88.190796
163,Singh And Singh,"Right PolyClinic, Diamond Harbour, Diamond Harbour Road, Diamond Harbour, Diamond Harbour - I, South 24 Parganas, West Bengal, 743331, India",22.19203,88.190796
164,Shanti Medical Hall,"Bankura - Beliator - Sonamukhi - Khandaghosh - Nischintapur Road, Bankura - Beliator - Sonamukhi - Khandaghosh - Nischintapur Rd, Rabindra Nagar, Diamond Harbour, West Bengal, 743331, India",22.1855,88.1897
165,Bina Medical Hall,"Right PolyClinic, Diamond Harbour, Diamond Harbour Road, Diamond Harbour, Diamond Harbour - I, South 24 Parganas, West Bengal, 743331, India",22.19203,88.190796
166,Malati Medical,"Right PolyClinic, Diamond Harbour, Diamond Harbour Road, Diamond Harbour, Diamond Harbour - I, South 24 Parganas, West Bengal, 743331, India",22.19203,88.190796
167,Narayan Homoeo Hall,"Right PolyClinic, Diamond Harbour, Diamond Harbour Road, Diamond Harbour, Diamond Harbour - I, South 24 Parganas, West Bengal, 743331, India",22.19203,88.190796
168,Bharat Medical Hall,"Right PolyClinic, Diamond Harbour, Diamond Harbour Road, Diamond Harbour, Diamond Harbour - I, South 24 Parganas, West Bengal, 743331, India",22.19203,88.190796
169,Jiban Deep Medical,"Right PolyClinic, Diamond Harbour, Diamond Harbour Road, Diamond Harbour, Diamond Harbour - I, South 24 Parganas, West Bengal, 743331, India",22.19203,88.190796
170,Manna Medical Center,"Right PolyClinic, Diamond Harbour, Diamond Harbour Road, Diamond Harbour, Diamond Harbour - I, South 24 Parganas, West Bengal, 743331, India",22.19203,88.190796
171,Jyoti Medical Hall,"Right PolyClinic, Diamond Harbour, Diamond Harbour Road, Diamond Harbour, Diamond Harbour - I, South 24 Parganas, West Bengal, 743331, India",22.19203,88.190796
172,KB Medical Agency,"Right PolyClinic, Diamond Harbour, Diamond Harbour Road, Diamond Harbour, Diamond Harbour - I, South 24 Parganas, West Bengal, 743331, India",22.19203,88.190796
